lieu,latitude,longitude
Restaurant Cheikh Ndiguël Sene Chez Daba Diouf,"14,7840831","-17,3699709"
Blanche neige,"14,7281285","-17,4920654"
Chez baytir,"14,7295317","-17,321291"
Restaurant Serigne Fallou Touba Kheweul,"14,6783895","-17,4534744"
UNACOIS JAPPO,"14,693825","-17,4474156"
Emirates Airline,"14,6687517","-17,4332241"
Ndiol makeup sop,"14,7760636","-17,3726775"
Poste Health Customs,"14,6998451","-17,4438656"
Coopérative IPRES,"14,8194875","-17,2687858"
Lycée de Yène,"14,6285766","-17,1610991"
App de bocar Tandia,"14,7311435","-17,4992992"
Mini-Marche Charcuterie Boucherie,"14,7365826","-17,3335364"
Pharmacie du Soleil Levant,"14,7821999","-17,3866464"
Cité tawfekh yakar,"14,8224454","-17,2636377"
ECORE SA,"14,7412481","-17,4258082"
TerrainYaden,"14,6755176","-17,1736472"
Complexe Salon De Coiffure Sope Dabakh,"14,7742035","-17,3874648"
église l’Enfant-Jesus de Prague de Tivaouane Peulh,"14,7941266","-17,2906854"
SAHAM ASSURANCE,"14,6881255","-17,4531753"
Peup cana,"14,7370824","-17,2172961"
Studio bonn yees,"14,7555456","-17,4582225"
ESSENTIA TRAVEL SééGAL,"14,7504002","-17,4698969"
SERVICAR,"14,6945928","-17,4530134"
parc mecaniciens,"14,7325087","-17,4736565"
Mansour Motors,"14,7358841","-17,5086055"
M Nails & Beauty,"14,7583448","-17,4656508"
Aramis voyages,"14,7396245","-17,4630551"
Adja Oumy Diop Couture,"14,7279548","-17,4517028"
La Qualite Restaurant,"14,7696781","-17,3313631"
Ipaf/Sr-Dh Santé,"14,7119006","-17,4673542"
Résidence Ngor Katia,"14,748557","-17,503136"
MAX-GOO IMMO,"14,723912","-17,4835252"
TAÏYO a Japanese Experience,"14,6657509","-17,43541"
Oratorship Academy,"14,6922239","-17,4556447"
Ministère Des Affaires étrangères Annexe 2,"14,6693357","-17,4307812"
Patte-Doie buldeurs,"14,7424113","-17,4393134"
Mini Foot de Diamaguene,"14,7510649","-17,3734688"
Passerelle de malika,"14,8041277","-17,3436175"
Keur Resto,"14,8068032","-17,2943211"
Ihed Institute Des Hautes Etudes De Dakar,"14,7162817","-17,4660606"
Coque dealer,"14,6793524","-17,4634582"
Samibou,"14,7408248","-17,4565025"
Terrain de Football,"14,847782","-17,1797787"
Pharmacie Sant Yalla,"14,7766066","-17,3975626"
Restaurant Chez Amina,"14,7396013","-17,3584746"
Madia Diakhaté,"14,687827","-17,448073"
Smart Technologies,"14,6700199","-17,4272794"
Restaurant Dibiterie Sope Naby Chez Khady,"14,7861972","-17,2749875"
Cafe Touba Belel,"14,7359758","-17,4549231"
Cem Ouakam 2,"14,7269188","-17,4868611"
Dani Group,"14,7266009","-17,4991314"
Dy,"14,6884852","-17,437767"
Car Wash,"14,7427015","-17,3926067"
Quincaillerie Saloum Saloum Sarr et Frère,"14,7751401","-17,2871153"
KERELY BUILDING SENEGAL,"14,6967425","-17,4582763"
Les Fondants de Atschou,"14,7311622","-17,4318681"
Restaurant DUC,"14,6828026","-17,4586498"
DENOMIUMCOM,"14,7544308","-17,474304"
Café ️phone Express,"14,7238385","-17,4600297"
Keur massar,"14,7802612","-17,3152281"
House of me,"14,7414803","-17,2863328"
Residence san marco,"14,7006503","-17,4723298"
SODEA,"14,7577534","-17,3102938"
Bureau SENSO,"14,710607","-17,482368"
Al Amine Vision Optic keur massar 77 310 49 25,"14,7790044","-17,3133938"
Naji ventes des epices et des olives,"14,6805136","-17,4551038"
BIMA,"14,7027482","-17,4210814"
LANSAR auto,"14,7361853","-17,4638176"
Marché Sham,"14,7735987","-17,3954273"
Fluency Corporation,"14,7213726","-17,4527925"
Masjidou Ridwaan,"14,7127121","-17,4740982"
Restaurant Gourmet,"14,7291192","-17,4681434"
Quincaillerie Dame Kante Bakh Yaye,"14,731957","-17,3040787"
Ecole Malick Diop (ecole 2),"14,7424479","-17,3799064"
MKD SERVISES,"14,7537052","-17,4563777"
Sembene Tapisserie,"14,7077386","-17,4512152"
DUCHKA PRES SERVICES,"14,6954047","-17,4367656"
Marché Eglise,"14,7590631","-17,438802"
CONNECTED,"14,7354297","-17,4729594"
Home 2,"14,7468719","-17,4666587"
Rond point aéroport yoff,"14,7484224","-17,4897784"
Mourchid Immobilier Cité Apix/772488787,"14,8013029","-17,2910768"
Mbao,"14,7444742","-17,3179715"
Sister's Ly Collection,"14,7376207","-17,4232696"
SALON DE COIFFURE éCLAT,"14,7447832","-17,2968059"
Pharmacie Terminus Liberté 5,"14,7223214","-17,4583586"
La Corne d’Or Dakar,"14,7171262","-17,4897689"
Dibiterie Marahba 2,"14,7650056","-17,3058644"
Papeterie Ouest Africaine,"14,6699911","-17,4310984"
Rahmaneconstruction,"14,739469","-17,295116"
Bbc Shop,"14,7557173","-17,4680146"
CEIC - CABINET D’EXPERTISE CONSEIL D’INGENIERIE ET DE CONTROLE,"14,722218","-17,4458212"
Primary School Afia,"14,7726443","-17,3463989"
Fatitoo fashion tailleur,"14,7416793","-17,4537408"
Cours Prives Franco Arabe Lydoube,"14,8120186","-17,2479404"
KEEWU Production,"14,6787619","-17,463365"
SPS Sécurité,"14,7073364","-17,4292195"
Prix D'usine boutique,"14,6893615","-17,4345631"
Ecobank,"14,7495747","-17,5056594"
Mosquée Yeumbeul Asecna,"14,7810015","-17,3613197"
Quincaillerie General Leppay Bakh,"14,7622892","-17,2909674"
Chez lamine gougonah,"14,723524","-17,2661294"
Mosquée de ngandiol,"14,8147982","-17,2476871"
école Kenjiro Shinozuka,"14,7629873","-17,4794398"
Complexe Mor Sokhna Ba,"14,7400859","-17,4545593"
Chakh,"14,7539662","-17,3944994"
Gusto Fashion (GF),"14,7889544","-17,3382371"
As De Kër,"14,7377836","-17,5079323"
Restaurant Le Fouladou,"14,8345469","-17,2493132"
Magui Fashion,"14,7455335","-17,4701666"
Chez Joe,"14,7287838","-17,460302"
Exchange Bereau,"14,6774358","-17,4474267"
Raatukane Garden,"14,7813487","-17,3787279"
Sunu E Consulting Hlm Hann Maristes Villa No 221,"14,7414333","-17,4252042"
Ambassade Guinée Conakry,"14,7449947","-17,4059737"
Daara Oustaz Abdoul Karim Ba,"14,8135706","-17,2671207"
Restaurant Chez Maman Aida,"14,7137635","-17,4499302"
"ESMB, BOULEVARD GENERAL DE GAULE DAKAR SééGAL BP: 2633","14,6930395","-17,4468761"
YUX Design,"14,6953003","-17,4581795"
Groupe SOECO-PONCET & Cie¸ Entreprise de BTP au Sénégal et en Afrique,"14,7113448","-17,4341006"
DIAM’O unité 6 keur massar,"14,786368","-17,311941"
Boutique Arafat,"14,7029038","-17,4721382"
Delta Cartel Ouakam Corniche,"14,7184776","-17,4905987"
Résidence MOHA,"14,727396","-17,4667929"
A-SHOP12.BUSINESS,"14,699931","-17,4539407"
Westen Union,"14,7321248","-17,4567101"
Ecole Privee Le Diligent,"14,8040335","-17,2883613"
Terrain CHAFA,"14,8267869","-17,2908121"
Africa Couture,"14,7558267","-17,4681864"
Cabis School,"14,7335417","-17,3065434"
projet djilakh,"14,7304109","-17,2269981"
CACEX Continental,"14,7143924","-17,4657319"
Mosquée de Ngor,"14,7516028","-17,4997369"
Chez Christ,"14,7484227","-17,3068604"
Salimto,"14,6692863","-17,4349047"
ISOFASEG CLEANING & WASH POINT,"14,7384346","-17,4300599"
Maison,"14,7076117","-17,4747197"
AAS Viatique Consultance,"14,6955155","-17,4588697"
Sous-préfecture de Pikine,"14,7576278","-17,4004277"
Salon Coiffure Chez Salane,"14,7435276","-17,4581161"
Driving School La Ouakamoise,"14,7223073","-17,4850206"
Bank Of Africa,"14,7556332","-17,4862685"
Alla Cheveux et Maquillage,"14,6831305","-17,4501645"
Dentista protésico Manolín (edificio alto),"14,673027","-17,4440226"
Karim Diall,"14,723676","-17,4549359"
Pro IT multiservices,"14,755114","-17,4686789"
Bijouterie Sope Dabakh,"14,7736255","-17,3141972"
Belle jiguene,"14,7413676","-17,4663687"
Layla Boutique,"14,7357309","-17,4575411"
Sucria,"14,7496717","-17,3432014"
Private School Apix,"14,8056147","-17,2899039"
Yenn terrain mdiop,"14,7377979","-17,4745814"
TOPOTO,"14,7161248","-17,4599432"
Lady Charm,"14,6977919","-17,4560737"
Toll tivaouane peul,"14,7951321","-17,2895538"
Appt Serigne Ngor,"14,7467915","-17,5024258"
Vision Trilingual School,"14,7348693","-17,5091127"
Boustane hijab,"14,768678","-17,433859"
IDEAL EQUIP,"14,7491425","-17,4950606"
Dakar Barbecue Grill,"14,7494697","-17,510988"
Tabakh Matériaux Portes - Carreaux - Rampes - Brique verre,"14,7502494","-17,4418396"
Wakeur Cheikh Abdoul Ahad Niang & Freres,"14,7707306","-17,3173706"
Douanes Manga,"14,6857383","-17,4221921"
Arret dioumadji,"14,7439003","-17,3152481"
Trivi Assurances,"14,6824351","-17,4392427"
Stade du Sénégal - Abdoulaye Wade,"14,7323906","-17,2010708"
Chez Malou,"14,7546126","-17,3816413"
Iica Guédiawaye,"14,770383","-17,3889227"
SITE MANNIANG SECK,"14,7466943","-17,3255002"
Fast Food Pisseria,"14,7831023","-17,291667"
Msc Senegal,"14,7059491","-17,4303697"
Kalimo Consulting Group,"14,7667523","-17,3854677"
Salon De Coiffure Mame Dabakh,"14,715854","-17,2775294"
Pari foot,"14,6959098","-17,4473333"
Salman Chic Collection,"14,7747285","-17,403293"
Saint Pierre,"14,7019022","-17,4519737"
Univers Belles Dames Couture,"14,7731801","-17,3800637"
Fatou Coiffure,"14,7824641","-17,3243344"
Footing beach,"14,6863962","-17,4695851"
BIORAM - Laboratoire d'analyses de biologie médicale,"14,7354392","-17,2875244"
DG CONSULTING,"14,7327062","-17,4729022"
Ganesha Librairie Papeterie,"14,7075663","-17,4669629"
Le Petit Marché,"14,7240879","-17,4607452"
SITE,"14,7661793","-17,4438082"
HOME SEN,"14,6720998","-17,4413258"
Mosquee Scat Urbam,"14,736612","-17,4607103"
Terminus 48 Rufisque,"14,7428826","-17,279881"
FRIENDS Salon De COIFFURE,"14,7521977","-17,4930526"
Hotel Cabourg,"14,7546323","-17,491721"
Boutique,"14,757435","-17,4359718"
International céramique carreaux Sénégal,"14,7325897","-17,4910848"
Mosquée Almadies Recasement,"14,7400621","-17,503462"
STATION OMEGA KEUR MASSAR,"14,7862606","-17,3248608"
Patte-d’oie,"14,7476312","-17,4429421"
INGCO TOOLS SHOW ROOM PARCELLES,"14,7500229","-17,4411249"
School Tinder Bamba Mbakhane Diop 2,"14,6958228","-17,4545308"
Eto Electro,"14,6746714","-17,4375665"
Phare de l'Espérance,"14,7265034","-17,5020217"
Mosquée liberté 5A,"14,7221323","-17,4608137"
institut diallo informatique,"14,7874615","-17,3240571"
Kytadesign,"14,722845","-17,4715794"
Fotall Services Yoff BCEAO,"14,7595665","-17,4637354"
Noor International Academy,"14,7091446","-17,4805798"
Der Mond Academy,"14,7396294","-17,5096465"
Mamadou Pressing,"14,759931","-17,458947"
BRT - Bus Stop Station - Dalal Jamm,"14,7713677","-17,4081046"
اهل حضرام,"14,7650817","-17,3898979"
Groupe Scolaire La Teranga,"14,7817224","-17,3793911"
Mosquée de Safco 2,"14,7441248","-17,3600221"
Akhméth diop,"14,76183","-17,44051"
Khadije Couture,"14,7347909","-17,4636145"
Yene Kao Plage,"14,6495472","-17,1742923"
PNT Programme National de Lutte Contre la Tuberculose,"14,6941633","-17,4678265"
GVEP International,"14,7127046","-17,4737869"
Les Délices de Mbiné Mangouné,"14,6066946","-17,1477302"
Complexe Awa Kandji Salon De Coiffure Eva Hair,"14,7552866","-17,4468318"
Orphelinat Sa'id Khalfaane As-Souwaydi_دار أيتام سعيد خلفان السويدي,"14,7237971","-17,1574011"
Charcuterie La Casamancaise,"14,7328057","-17,3244514"
La Boule Pape Dibi,"14,6996773","-17,4563211"
Ali Baba,"14,6692905","-17,4345095"
Alimentation Sope Baye,"14,7994416","-17,3382161"
"TECSON CONSULTING, Sacre Coeur 3- Lot nº8619H 3eme etage a gauche","14,7309507","-17,4729154"
Pharmacie Ama Ndiaye,"14,7491419","-17,4641264"
ENTREPOTS NUMERO UNO DIAMNIADIO,"14,7159682","-17,2027773"
Educazur,"14,754348","-17,3648429"
B Security Cloud Training,"14,747066","-17,468299"
Marlin bleu,"14,7242271","-17,4707443"
MD SERVICES,"14,6635805","-17,4374319"
Vendeuse beignets,"14,7250486","-17,4564212"
Daara Haci Ahmed Kutlu,"14,6777441","-17,4437581"
FARII Group,"14,7052576","-17,4665769"
"SSB, Rue de Diourbel X Piscine Olympique villa nO HAPoint E","14,6968918","-17,4637629"
Catherine Immobilier et Commercial,"14,6800634","-17,4483705"
Galoya Boutique Paul Holle Magasin de tissus,"14,6710493","-17,4370198"
Bouchra Creation (Chez Bara),"14,7147567","-17,2774171"
Wafacash,"14,7386573","-17,4678781"
Pharmacie Talibou Dabo,"14,7499407","-17,3976153"
Vip Beach,"14,7453066","-17,5286838"
"8606/G Rue SC-123, Dakar 12000, Senegal","14,7170436","-17,4658775"
Dibiterie Haoussa,"14,7863226","-17,275632"
Avenue Pompidou,"14,6694462","-17,4351726"
Quincaillerie Sope Naby,"14,7513845","-17,2845306"
Swag shoes,"14,6977533","-17,446465"
Papagueye,"14,7590667","-17,3943486"
Yady’s Glam institute,"14,7354934","-17,4926148"
Moana Fashion Complexe,"14,7393867","-17,4549309"
L’univers de Zé,"14,7304229","-17,4725416"
Cabellos Coiffure,"14,6681875","-17,4370625"
Kër Dieng,"14,7038033","-17,457601"
Ecole Halwar,"14,7398639","-17,426263"
Kabala Business Global,"14,6887589","-17,4474929"
Amezee fachion,"14,7391447","-17,435356"
BOSY Bibliothèque Ousmane Sembène de Yoff,"14,7599169","-17,4735723"
Chez paga,"14,7076724","-17,4579203"
Afrik’ya cosmetics,"14,7433728","-17,287403"
Mamy Bmb,"14,7382842","-17,3289056"
Annexe Institute African De Santé Moderne,"14,7353467","-17,472644"
Hayder Grocery shop حيدر بقالة,"14,67074","-17,4374857"
Serte Automobile,"14,7567265","-17,4600063"
Résidence sy siguine,"14,7306299","-17,4510815"
grimo auto,"14,71554","-17,270929"
ENO Guediawaye,"14,7834744","-17,3844444"
Cana,"14,7813882","-17,3766678"
Superette camerlindos,"14,7480699","-17,456535"
M-Racing Africa,"14,6916264","-17,451483"
Bergerie Ca Carara Alimentation,"14,7532793","-17,4479775"
Course Private La Petite Fleur,"14,7716476","-17,3409912"
Pressing Blanchisserie-Nettoyage à Sec,"14,7498759","-17,4577441"
